51.474964,-0.037442,82.132.244.9
51.474958,-0.037452,82.132.244.9
51.474952,-0.037465,82.132.244.9
51.475026,-0.037009,82.132.244.21
51.474939,-0.037078,82.132.244.21
51.47494,-0.037141,82.132.244.21
51.4749,-0.037188,82.132.244.21
51.474912,-0.037162,82.132.244.21
51.474973,-0.037239,82.132.244.9
51.474842,-0.037366,82.132.244.9
51.47507,-0.036924,82.132.244.9
51.475151,-0.036781,82.132.244.9
51.475206,-0.036647,82.132.244.9
51.474952,-0.03714,82.132.244.9
51.474962,-0.037079,82.132.244.9
51.474972,-0.037044,82.132.244.9
51.475275,-0.037141,82.132.212.9
51.475366,-0.037215,82.132.212.9
51.475473,-0.03733,82.132.212.9
51.475379,-0.037298,82.132.212.9
51.475197,-0.037414,82.132.212.9
51.475215,-0.037113,82.132.212.9
51.474978,-0.037337,82.132.212.9
51.474969,-0.037283,82.132.212.9
51.475071,-0.037148,82.132.212.9
51.475072,-0.037165,82.132.212.21
51.475086,-0.037186,82.132.212.17
51.475087,-0.037193,82.132.212.9
51.475122,-0.037244,82.132.212.9
51.475102,-0.037171,82.132.212.9
51.47512,-0.037094,82.132.212.9
51.475138,-0.037235,82.132.212.9
51.475074,-0.037114,82.132.212.9
51.474892,-0.03698,82.132.212.9
51.474974,-0.037203,82.132.212.9
51.47507,-0.037003,82.132.212.9
51.475044,-0.036922,82.132.212.9
51.474992,-0.036787,82.132.212.9
51.474974,-0.037181,82.132.212.9
51.475074,-0.036749,82.132.212.9
51.475012,-0.036652,82.132.212.9
51.474852,-0.036679,82.132.212.9
51.475057,-0.037002,82.132.212.9
51.475097,-0.036899,82.132.212.13
51.475151,-0.036763,82.132.212.13
51.475053,-0.036931,82.132.212.13
51.474981,-0.037056,82.132.212.13
51.474773,-0.037701,82.132.212.13
51.474975,-0.036851,82.132.212.13
51.475022,-0.037113,82.132.212.13
51.474921,-0.037477,82.132.212.13
51.474956,-0.037067,82.132.212.13
51.474943,-0.037262,82.132.212.9
51.474951,-0.037253,82.132.212.13
51.474966,-0.037234,82.132.212.9
51.474974,-0.037198,82.132.212.9
51.474924,-0.037421,82.132.212.9
51.474938,-0.037021,82.132.212.9
51.474922,-0.036922,82.132.212.9
51.474941,-0.037093,82.132.212.9
51.474517,-0.036475,82.132.212.9
51.474509,-0.036476,82.132.212.9
51.474501,-0.036477,82.132.212.9
51.474492,-0.036479,82.132.212.9
51.474482,-0.036481,82.132.212.9
51.474472,-0.036482,82.132.212.9
51.474461,-0.036484,82.132.212.9
51.47445,-0.036486,82.132.212.9
51.474438,-0.036488,82.132.212.9
51.474425,-0.036491,82.132.212.9
51.474411,-0.036493,82.132.212.9
51.474396,-0.036495,82.132.212.33
51.474843,-0.036986,82.132.212.33
51.47487,-0.037017,82.132.212.33
51.4749,-0.037049,82.132.212.33
51.474932,-0.037084,82.132.212.33
51.474946,-0.037099,82.132.212.33
51.474759,-0.036405,82.132.212.33
51.47476,-0.0364,82.132.212.33
51.474761,-0.036394,82.132.212.33
51.474762,-0.036388,82.132.212.33
51.474763,-0.036381,82.132.212.33
51.474765,-0.036375,82.132.212.33
51.474766,-0.036367,82.132.212.5
51.474852,-0.036635,82.132.212.5
51.474846,-0.036921,82.132.212.5
51.474846,-0.036939,82.132.212.5
51.474841,-0.03695,82.132.212.5
51.474837,-0.036961,82.132.212.5
51.474817,-0.03701,82.132.212.5
51.474792,-0.03707,82.132.212.5
51.474761,-0.037146,82.132.212.5
51.474723,-0.03724,82.132.212.5
51.474733,-0.037249,82.132.212.5
51.474746,-0.03726,82.132.212.5
51.474762,-0.037274,82.132.212.5
